Seq,Descrição,Campo,Tipo,Decimais,Obrigatório,Tamanho,Início,Término
1,Código do Registro - 2,cod_reg,Caracter,          ,     SIM     ,1,1,1
2,Baixa Estoque,ind_baixa_estoque,Sim/Não,          ,     SIM     ,3,2,4
3,Classificação Fiscal,ncm,Caracter,          ,     SIM     ,12,5,16
4,Campo Desativado,campo_desativado_item_1,Caracter,          ,     SIM     ,3,17,19
5,Referência,referencia_item,Caracter,          ,     NÃO     ,8,20,27
6,Data Nota Complementar,dt_nf_complementar,DDMMAAAA,          ,     NÃO     ,8,28,35
7,Item,cod_item,Caracter,          ,     SIM     ,16,36,51
8,Natureza Complementar,nat_complementar,Caracter,          ,     NÃO     ,8,52,59
9,Natureza de Operação,nat_operacao,Caracter,          ,     SIM     ,8,60,67
10,Número da Nota Fiscal,num_nf,Caracter,          ,     SIM     ,16,68,83
11,Sequência,seq_item,Inteiro,          ,     SIM     ,5,84,88
12,Número da Nota Complementar,num_nf_complementar,Caracter,          ,     NÃO     ,16,89,104
13,Percentual de Desconto do Item,pct_desc_item,Decimal,5,     NÃO     ,8,105,112
14,Peso Líquido,peso_liquido,Decimal,5,     SIM     ,11,113,123
15,Peso Embalagem,peso_embalagem,Decimal,5,     NÃO     ,11,124,134
16,Quantidade[1],qtd_faturada,Decimal,4,     SIM     ,11,135,145
17,Quantidade[2],qtd_estoque,Decimal,4,     NÃO     ,11,146,156
18,Sequência Complementar,seq_complementar,Inteiro,          ,     NÃO     ,3,157,159
19,Série,serie,Caracter,          ,     SIM     ,5,160,164
20,Série Complementar,serie_complementar,Caracter,          ,     NÃO     ,5,165,169
21,Unidade Faturada[1],un_faturada,Caracter,          ,     SIM     ,2,170,171
22,Unidade Faturada[2],un_estoque,Caracter,          ,     NÃO     ,2,172,173
23,Valor Despesas,vl_despesas,Decimal,2,     NÃO     ,12,174,185
24,Valor Embalagem,vl_embalagem,Decimal,2,     NÃO     ,12,186,197
25,Valor Frete,vl_frete,Decimal,2,     NÃO     ,12,198,209
26,Valor Mercadoria Líquido,vl_merc_liquido,Decimal,2,     SIM     ,12,210,221
27,Valor Mercadoria Original,vl_merc_original,Decimal,2,     SIM     ,12,222,233
28,Valor Mercadoria Tabela,vl_merc_tabela,Decimal,2,     SIM     ,12,234,245
29,Preço Original,preco_unit_original,Decimal,5,     SIM     ,14,246,259
30,Preço Tabela,preco_unit_tabela,Decimal,5,     SIM     ,14,260,273
31,Preço Líquido,preco_unit_liquido,Decimal,5,     SIM     ,14,274,287
32,Valor Seguro,vl_seguro,Decimal,2,     NÃO     ,12,288,299
33,Valor Total do Item,vl_total_item,Decimal,2,     SIM     ,12,300,311
34,Campo desativado,campo_desativado_item_2,Caracter,          ,     NÃO     ,17,312,328
